station,pws_id,date,tmax_pws,unit
LTAC,IANKAR28,2026-05-15,17.6,C
LTAC,IANKAR28,2026-05-09,20.2,C
LTAC,IANKAR28,2026-05-03,8.5,C
LTAC,IANKAR28,2026-04-27,19.7,C
LTAC,IANKAR28,2026-04-21,17.5,C
LTAC,IANKAR28,2026-04-15,20.5,C
LTAC,IANKAR28,2026-04-09,8.9,C
LTAC,IANKAR28,2026-04-03,12.7,C
LTAC,IANKAR28,2026-03-28,16.7,C
LTAC,IANKAR28,2026-03-22,11.0,C
LTAC,IANKAR28,2026-03-16,12.9,C
LTAC,IANKAR28,2026-03-10,10.1,C
LTAC,IANKAR28,2026-02-26,4.1,C
LTAC,IANKAR28,2026-02-20,11.2,C
LTAC,IANKAR28,2026-02-14,10.4,C
LTAC,IANKAR28,2026-02-08,11.6,C
LTAC,IANKAR28,2026-02-02,10.7,C
LTAC,IANKAR28,2026-01-27,11.0,C
LTAC,IANKAR28,2026-01-21,0.0,C
LTAC,IANKAR53,2026-03-22,18.8,C
LTAC,IGLBAI11,2026-07-08,29.5,C
LTAC,IGLBAI11,2026-07-02,33.5,C
LTAC,IGLBAI11,2026-06-26,30.1,C
LTAC,IGLBAI11,2026-06-20,24.4,C
LTAC,IGLBAI11,2026-06-14,24.2,C
LTAC,IGLBAI11,2026-06-08,28.6,C
LTAC,IGLBAI11,2026-05-21,21.7,C
LTAC,IGLBAI11,2026-05-15,18.8,C
LTAC,IGLBAI11,2026-05-09,22.2,C
LTAC,IGLBAI11,2026-05-03,10.2,C
LTAC,IGLBAI11,2026-04-27,22.3,C
LTAC,IGLBAI11,2026-04-21,19.1,C
LTAC,IGLBAI11,2026-04-15,21.6,C
LTAC,IGLBAI11,2026-04-09,9.6,C
LTAC,IGLBAI11,2026-04-03,12.9,C
LTAC,IGLBAI11,2026-03-28,15.7,C
LTAC,IGLBAI11,2026-03-22,12.0,C
LTAC,IGLBAI11,2026-03-16,14.7,C
LTAC,IGLBAI11,2026-03-10,11.2,C
LTAC,IANKARAA11,2026-07-08,29.1,C
LTAC,IANKARAA11,2026-07-02,33.4,C
LTAC,IANKARAA11,2026-06-26,28.0,C
LTAC,IANKARAA11,2026-06-20,23.5,C
LTAC,IANKARAA11,2026-06-14,19.6,C
LTAC,IANKARAA11,2026-06-08,24.0,C
LTAC,IANKARAA11,2026-06-02,23.8,C
LTAC,IANKARAA11,2026-05-27,17.9,C
LTAC,IANKARAA11,2026-05-21,18.4,C
LTAC,IANKARAA11,2026-05-15,17.5,C
LTAC,IANKARAA11,2026-05-09,20.3,C
LTAC,IANKARAA11,2026-05-03,10.5,C
LTAC,IANKARAA11,2026-04-27,22.5,C
LTAC,IANKARAA11,2026-04-21,17.4,C
LTAC,IANKARAA11,2026-04-15,21.2,C
LTAC,IANKARAA11,2026-04-09,10.5,C
LTAC,IANKARAA11,2026-04-03,13.8,C
LTAC,IANKARAA11,2026-03-28,17.5,C
LTAC,IANKARAA11,2026-03-22,10.7,C
LTAC,IANKARAA11,2026-03-16,14.2,C
LTAC,IANKARAA11,2026-03-10,11.9,C
LTAC,IANKARAA11,2026-02-26,3.7,C
LTAC,IANKARAA11,2026-02-20,11.2,C
LTAC,IANKARAA11,2026-02-14,10.6,C
LTAC,IANKARAA11,2026-02-08,11.6,C
LTAC,IANKARAA11,2026-02-02,9.8,C
LTAC,IANKARAA11,2026-01-27,12.3,C
LTAC,IANKARAA11,2026-01-21,0.3,C
KMIA,KFLMIAMI1095,2026-07-08,94.6,F
KMIA,KFLMIAMI1095,2026-07-02,96.1,F
KMIA,KFLMIAMI1095,2026-06-26,92.7,F
KMIA,KFLMIAMI1095,2026-06-20,94.5,F
KMIA,KFLMIAMI1095,2026-06-14,96.4,F
KMIA,KFLMIAMI1095,2026-06-08,92.1,F
KMIA,KFLMIAMI1095,2026-06-02,97.9,F
KMIA,KFLMIAMI1095,2026-05-27,88.2,F
KMIA,KFLMIAMI1095,2026-05-21,89.1,F
KMIA,KFLMIAMI1095,2026-05-15,96.3,F
KMIA,KFLMIAMI1095,2026-05-09,91.9,F
KMIA,KFLMIAMI1095,2026-05-03,82.6,F
KMIA,KFLMIAMI1095,2026-04-27,89.6,F
KMIA,KFLMIAMI1095,2026-04-21,81.5,F
KMIA,KFLMIAMI1095,2026-04-15,83.1,F
KMIA,KFLMIAMI1095,2026-04-09,80.8,F
KMIA,KFLMIAMI1095,2026-04-03,83.3,F
KMIA,KFLMIAMI1095,2026-03-28,87.1,F
KMIA,KFLMIAMI1095,2026-03-22,84.4,F
KMIA,KFLMIAMI1095,2026-03-16,87.4,F
KMIA,KFLMIAMI1095,2026-03-10,85.6,F
KMIA,KFLMIAMI1095,2026-03-04,82.6,F
KMIA,KFLMIAMI1095,2026-02-26,79.5,F
KMIA,KFLMIAMI1095,2026-02-20,84.2,F
KMIA,KFLMIAMI1095,2026-02-14,79.9,F
KMIA,KFLMIAMI1095,2026-02-08,75.2,F
KMIA,KFLMIAMI1095,2026-02-02,58.5,F
KMIA,KFLMIAMI1095,2026-01-27,67.3,F
KMIA,KFLMIAMI1095,2026-01-21,70.5,F
KMIA,KFLMIAMI661,2026-07-08,95.2,F
KMIA,KFLMIAMI661,2026-07-02,94.8,F
KMIA,KFLMIAMI661,2026-06-26,94.6,F
KMIA,KFLMIAMI661,2026-06-20,96.8,F
KMIA,KFLMIAMI661,2026-06-14,96.8,F
KMIA,KFLMIAMI661,2026-06-08,93.4,F
KMIA,KFLMIAMI661,2026-06-02,93.9,F
KMIA,KFLMIAMI661,2026-05-27,90.0,F
KMIA,KFLMIAMI661,2026-05-21,90.3,F
KMIA,KFLMIAMI661,2026-05-15,95.4,F
KMIA,KFLMIAMI661,2026-05-09,95.2,F
KMIA,KFLMIAMI661,2026-05-03,81.7,F
KMIA,KFLMIAMI661,2026-04-27,90.0,F
KMIA,KFLMIAMI661,2026-04-21,79.7,F
KMIA,KFLMIAMI661,2026-04-15,83.5,F
KMIA,KFLMIAMI661,2026-04-09,79.3,F
KMIA,KFLMIAMI661,2026-04-03,82.6,F
KMIA,KFLMIAMI661,2026-03-28,85.6,F
KMIA,KFLMIAMI661,2026-03-22,84.0,F
KMIA,KFLMIAMI661,2026-03-16,88.0,F
KMIA,KFLMIAMI661,2026-03-10,84.9,F
KMIA,KFLMIAMI661,2026-03-04,81.5,F
KMIA,KFLMIAMI661,2026-02-26,79.2,F
KMIA,KFLMIAMI661,2026-02-20,85.6,F
KMIA,KFLMIAMI661,2026-02-14,80.2,F
KMIA,KFLMIAMI661,2026-02-08,73.4,F
KMIA,KFLMIAMI661,2026-02-02,55.9,F
KMIA,KFLMIAMI661,2026-01-27,65.3,F
KMIA,KFLMIAMI661,2026-01-21,70.9,F
KMIA,KFLMIAMI454,2026-07-08,92.3,F
KMIA,KFLMIAMI454,2026-07-02,91.2,F
KMIA,KFLMIAMI454,2026-06-26,91.2,F
KMIA,KFLMIAMI454,2026-06-20,93.6,F
KMIA,KFLMIAMI454,2026-06-14,93.9,F
